,Rank,Series_Name,Release_year,Duration,Genre,Star,Licence,No_of_votes,Rating
59,60,Jack Ryan,2018,60 m,"Action,",John,18+,"108,318",8.1
60,61,Titans I,2018,45 m,"Action,",Brenton,A,"94,104",7.7
61,62,New Girl,2011,22 m,"Comedy,",Zooey,18+,"213,593",7.8
62,63,Justified,2010,44 m,"Action,",Timothy,16+,"96,007",8.6
63,64,You,2018,45 m,"Crime,",Penn,18+,"221,939",7.8
64,65,Traces,2019,45 m,"Crime,",Laura,13+,"4,180",7.0
65,66,Servant,2019,30 m,"Drama,",Lauren,18+,"30,549",7.5
66,67,Legacies,2018,45 m,"Adventure,",Danielle,A,"27,808",7.5
67,68,Gotham,2014,42 m,"Action,",Ben,18+,"223,437",7.9
68,69,Better Things,2016,22 m,"Comedy,",Pamela,16+,"14,080",7.8
69,70,Superstore,2015,22 m,Comedy,Ben,18+,"50,799",7.9
70,71,L amica geniale,2018,60 m,Drama,Alba,18+,"12,796",8.6
71,72,Sherlock,2010,88 m,"Crime,",Benedict,18+,"882,159",9.1
72,73,The Morning Show I,2019,60 m,Drama,Jennifer,15+,"92,268",8.3
73,74,Schitt s Creek,2015,22 m,Comedy,Eugene,18+,"109,507",8.6
74,75,Dollface,2019,29 m,Comedy,Kat,12+,"7,989",7.5
75,76,The,100,43 m,"Drama,",Eliza,18+,"239,698",7.7
76,77,The Umbrella Academy,2019,60 m,"Action,",Elliot,A,"197,185",8.0
77,78,Bob s Burgers,2011,22 m,"Animation,",H.,18+,"75,263",8.2
78,79,SEAL Team,2017,43 m,"Action,",David,16,"23,025",7.8
79,80,,9,43 m,"Action,",Angela,18+,"30,346",7.9
80,81,New Amsterdam,2018,43 m,Drama,Ryan,A,"34,835",8.1
81,82,Magnum P I,2018,43 m,"Action,",Jay,18+,"11,963",6.0
82,83,A Million Little Things,2018,43 m,"Comedy,",David,A,"12,335",8.0
83,84,The Resident,2018,60 m,Drama,Matt,18+,"24,794",7.9
84,85,Homeland,2011,55 m,"Crime,",Claire,18,"333,046",8.4
85,86,Dirty John,2018,44 m,"Crime,",Connie,18+,"20,646",7.3
86,87,The Punisher,2017,53 m,"Action,",Jon,15,"215,676",8.5
87,88,Mr Robot,2015,49 m,"Crime,",Rami,18+,"369,622",8.6
88,89,Dark,2017,60 m,"Crime,",Louis,16+,"347,646",8.8
89,90,Bull,2016,60 m,"Comedy,",Michael,18+,"18,475",7.1
90,91,Orange Is the New Black,2013,59 m,"Comedy,",Taylor,15+,"293,486",8.1
91,92,Raising Dion,2019,50 m,"Drama,",Alisha,18+,"13,676",7.2
92,93,The Goldbergs,2013,22 m,Comedy,Wendi,A,"36,004",8.1
93,94,Station,19,60 m,"Action,",Jaina,18+,"13,249",6.9
94,95,Arrow,2012,19 i,"Action,",Stephen,18,"423,845",7.7
95,96,Fear the Walking Dead,2015,42 m,"Drama,",Kim,18+,"125,060",6.9
96,97,Bosch,2014,44 m,"Crime,",Titus,16+,"63,007",8.5
97,98,Agents of S H I E L D,2013,51 m,"Action,",Clark,18+,"212,171",7.6
98,99,Hawaii Five,0,45 m,"Action,",Alex,16+,"71,750",7.5
99,100,What We Do in the Shadows,2019,42 m,"Comedy,",Kayvan,18+,"62,468",8.6
100,101,The Good Place,2016,30 m,"Comedy,",Kristen,A,"144,408",8.2
101,102,Once Upon a Time,2011,22 m,"Adventure,",Ginnifer,18+,"218,984",7.9
102,103,Riverdale,2017,60 m,"Crime,",Lili,A,"137,457",6.8
103,104,Disenchantment,2018,45 m,"Animation,",Abbi,18+,"57,155",7.3
104,105,Mindhunter,2017,30 m,"Crime,",Jonathan,16,"262,898",8.6
105,106,Endeavour,2012,60 m,"Crime,",Shaun,18+,"23,970",8.6
106,107,The Americans,2013,89 m,"Crime,",Keri,UA 16+,"95,021",8.4
107,108,Call the Midwife,2012,44 m,"Drama,",Vanessa,18+,"24,843",8.6
108,109,FBI,2018,60 m,"Action,",Missy,16+,"15,576",7.0
109,110,Batwoman,2019,60 m,"Action,",Camrus,18+,"41,874",3.5
110,111,Power I,2014,45 m,"Crime,",Omari,A,"44,531",8.2
111,112,Vera,2011,50 m,"Crime,",Brenda,18+,"13,256",8.1
112,113,Letterkenny,2016,90 m,Comedy,Michelle,15+,"20,452",8.8
113,114,House of Cards,2013,30 m,Drama,Kevin,18+,"491,211",8.7
114,115,See,2019,51 m,"Action,",Jason,16+,"70,083",7.7
115,116,Shakespeare Hathaway Private Investigators,2018,60 m,"Comedy,",Mark,18+,"3,643",7.6
116,117,Line of Duty,2012,45 m,"Crime,",Martin,A,"54,360",8.7
117,118,Pretty Little Liars,2010,60 m,"Drama,",Troian,18+,"161,780",7.6
118,119,Father Brown,2013,44 m,"Crime,",Mark,UA,"10,772",7.8
119,120,Lost in Space,2018,52 m,"Adventure,",Molly,18+,"95,537",7.4
120,121,Longmire,2012,60 m,"Action,",Robert,18+,"33,793",8.4
121,122,BoJack Horseman,2014,60 m,"Animation,",Will,18+,"139,865",8.8
122,123,Teen Wolf,2011,25 m,"Action,",Tyler,13,"141,018",7.9
123,124,Atlanta,2016,41 m,"Comedy,",Donald,18+,"62,329",8.6
124,125,Narcos,2015,30 m,"Biography,",Pedro,UA,"399,621",8.8
125,126,How to Get Away with Murder,2014,49 m,"Crime,",Viola,18+,"144,934",8.2
126,127,Ray Donovan,2013,43 m,"Crime,",Liev,15+,"84,556",8.3
127,128,Sanditon,2019,60 m,"Drama,",Crystal,18+,"10,679",7.8
128,129,All American,2018,60 m,"Drama,",Daniel,18+,"9,837",7.8
129,130,Banshee,2013,45 m,"Action,",Antony,18+,"97,170",8.5
130,131,The Originals,2013,60 m,"Drama,",Joseph,A,"130,072",8.4
131,132,Virgin River,2019,45 m,"Drama,",Martin,18+,"33,969",7.5
132,133,Ghosts,2019,44 m,"Comedy,",Lolly,16+,"13,254",8.3
133,134,Doom Patrol,2019,30 m,"Action,",Diane,18+,"49,037",7.9
134,135,Boardwalk Empire,2010,60 m,"Crime,",Steve,U,"183,628",8.6
135,136,Toy Boy,2019,55 m,"Action,",Jesús,18+,"7,090",6.6
136,137,Big Little Lies,2017,60 m,"Crime,",Reese,16,"185,384",8.5
137,138,The Orville,2017,44 m,"Adventure,",Seth,18+,"67,957",8.0
138,139,The Fall I,2013,60 m,"Crime,",Gillian,12+,"100,027",8.2
139,140,Person of Interest,2011,43 m,"Action,",Jim,18+,"171,899",8.5
140,141,Top Boy,2011,60 m,"Crime,",Ashley,13,"17,008",8.4
141,142,Spartacus Blood and Sand,2010,55 m,"Action,",Andy,18+,"235,664",8.6
142,143,Mom,2013,30 m,"Comedy,",Allison,15+,"33,693",7.4
143,144,Jessica Jones,2015,56 m,"Action,",Krysten,18+,"207,195",7.9
144,145,Elementary,2012,60 m,"Crime,",Jonny,UA,"108,367",7.9
145,146,Designated Survivor,2016,60 m,"Action,",Kiefer,18+,"86,803",7.5
146,147,For All Mankind,2019,60 m,"Drama,",Joel,16,"29,085",7.9
147,148,Fleabag,2016,27 m,"Comedy,",Phoebe,18+,"135,226",8.7
148,149,Reasons Why,13,60 m,"Drama,",Dylan,A,"279,554",7.6
149,150,The Leftovers,2014,60 m,"Drama,",Justin,18+,"92,475",8.4
150,151,Boku no h r akademia,2016,24 m,"Animation,",Daiki,16+,"54,189",8.5
151,152,When Calls the Heart,2014,43 m,"Drama,",Erin,18+,"12,372",8.2
152,153,The OA,2016,60 m,"Drama,",Brit,16+,"100,596",7.9
153,154,Dead to Me,2019,30 m,"Comedy,",Luke,18+,"71,323",8.0
154,155,Barry,2018,30 m,"Action,",Bill,16,"58,911",8.3
155,156,Hannibal,2013,44 m,"Crime,",Hugh,18+,"245,567",8.6
156,157,Luther,2010,60 m,"Crime,",Idris,18+,"132,539",8.5
157,158,Euphoria,2012,52 m,Drama,Roni,18+,209,6.0
158,159,Supergirl,2015,43 m,"Action,",Melissa,13+,"121,114",6.3
159,160,Taboo,2017,59 m,"Drama,",Tom,18+,"124,962",8.4
160,161,Scandal,2012,43 m,"Drama,",Kerry,A,"71,688",7.8
161,162,His Dark Materials,2019,60 m,"Adventure,",Dafne,18+,"60,825",7.9
162,163,Goliath,2016,60 m,Drama,Billy,16+,"45,848",8.2
163,164,Animal Kingdom,2016,60 m,"Crime,",Shawn,18+,"32,649",8.2
164,165,The Chosen,2017,54 m,"Drama,",Elizabeth,18,"24,316",9.6
165,166,Altered Carbon,2018,60 m,"Action,",Chris,18+,"159,246",8.0
166,167,Star Wars Rebels,2014,22 m,"Animation,",Dave,16+,"38,868",8.0
167,168,Narcos M xico,2018,50 m,"Crime,",Scoot,18+,"79,805",8.4
168,169,The Man in the High Castle,2015,60 m,"Drama,",Alexa,16,"97,297",8.0
169,170,Shetland,2013,60 m,"Crime,",Douglas,18+,"16,355",8.3
170,171,Grimm,2011,45 m,"Crime,",David,15+,"116,305",8.0
171,172,Search Party,2016,24 m,"Comedy,",Alia,18+,"10,389",7.7
172,173,The Bay,2019,45 m,"Crime,",Daniel,13+,"7,050",7.1
173,174,Hanna,2019,60 m,"Action,",Esme,18+,"36,519",7.6
174,175,lite,2018,60 m,"Crime,",Itzan,16+,"69,354",7.5
175,176,Wu Assassins,2019,44 m,"Action,",Iko,18+,"12,521",6.5
176,177,Good Girls,2018,43 m,"Comedy,",Christina,13+,"47,807",7.8
177,178,Jane the Virgin,2014,60 m,Comedy,Gina,18+,"46,625",8.0
178,179,Two Sentence Horror Stories,2017,20 m,"Drama,",Lauri,18+,"1,697",5.5
179,180,Big Mouth,2017,30 m,"Animation,",Nick,18+,"72,807",8.0
180,181,Silicon Valley,2014,28 m,Comedy,Thomas,16+,"141,805",8.5
181,182,Reign,2013,42 m,"Drama,",Adelaide,18+,"47,935",7.6
182,183,American Crime Story,2016,42 m,"Biography,",Sarah,15+,"92,913",8.4
183,184,Carnival Row,2019,56 m,"Crime,",Jamie,18+,"57,623",7.9
184,185,Pennyworth,2019,60 m,"Action,",Jack,16,"12,886",7.9
185,186,Miraculous Tales of Ladybug Cat Noir,2015,20 m,"Animation,",Cristina,18+,"10,216",7.9
186,187,NCIS New Orleans,2014,42 m,"Action,",Scott,18,"17,637",6.9
187,188,The Good Fight,2017,45 m,"Crime,",Christine,18+,"25,314",8.4
188,189,Last Man Standing,2011,30 m,Comedy,Tim,16+,"33,103",7.6
189,190,Britannia,2017,60 m,"Action,",David,18+,"15,447",6.9
190,191,Black Sails,2014,56 m,"Action,",Jessica,16+,"100,838",8.3
191,192,Gomorra La serie,2014,55 m,"Crime,",Salvatore,18+,"37,602",8.7
192,193,Why Women Kill,2019,50 m,"Comedy,",Jack,16,"21,454",8.4
193,194,Queen of the South,2016,42 m,"Action,",Alice,18+,"26,511",8.1
194,195,Blindspot,2015,42 m,"Action,",Sullivan,A,"71,880",7.4
195,196,The Killing,2011,45 m,"Crime,",Mireille,18+,"107,868",8.3
196,197,Adventure Time,2010,11 m,"Animation,",John,7,"88,244",8.7
197,198,Hunter x Hunter,2011,24 m,"Animation,",Issei,18+,"84,428",9.0
198,199,Anne,2017,60 m,"Drama,",Amybeth,18+,"49,511",8.7
